wage,educ
3.099999905,11
3.24000001,12
3,11
6,8
5.300000191,12
8.75,16
11.25,18
5,12
3.599999905,12
18.18000031,17
6.25,16
8.130000114,13
8.770000458,12
5.5,12
22.20000076,12
17.32999992,16
7.5,12
10.63000011,13
3.599999905,12
4.5,12
6.880000114,12
8.479999542,12
6.329999924,16
0.529999971,12
6,11
9.56000042,16
7.78000021,16
12.5,16
12.5,15
3.25,8
13,14
4.5,14
9.680000305,13
5,12
4.679999828,12
4.269999981,16
6.150000095,12
3.50999999,4
3,14
6.25,12
7.809999943,12
10,12
4.5,14
4,11
6.380000114,13
13.69999981,15
1.669999957,10
2.930000067,12
3.650000095,14
2.900000095,12
1.629999995,12
8.600000381,16
5,12
6,12
2.5,12
3.25,15
3.400000095,16
10,8
21.62999916,18
4.380000114,16
11.71000004,13
12.39000034,14
6.25,10
3.710000038,10
7.78000021,14
19.97999954,14
6.25,16
10,12
5.710000038,16
2,12
5.710000038,16
13.07999992,17
4.909999847,12
2.910000086,12
3.75,12
11.89999962,13
4,12
3.099999905,12
8.449999809,12
7.139999866,18
4.5,9
4.650000095,16
2.900000095,10
6.670000076,12
3.5,12
3.25999999,12
3.25,12
8,12
9.850000381,8
7.5,12
5.909999847,12
11.76000023,14
3,12
4.809999943,12
6.5,12
4,9
3.5,13
13.15999985,12
4.25,14
3.5,12
5.130000114,15
3.75,12
4.5,12
7.630000114,12
15,14
6.849999905,15
13.32999992,12
6.670000076,12
2.529999971,12
9.800000191,17
3.369999886,11
24.97999954,18
5.400000095,12
6.110000134,14
4.199999809,14
3.75,10
3.5,14
3.640000105,12
3.799999952,15
3,8
5,16
4.630000114,14
3,15
3.200000048,12
3.910000086,18
6.429999828,16
5.480000019,10
1.5,8
2.900000095,10
5,11
8.920000076,18
5,15
3.519999981,12
2.900000095,11
4.5,12
2.25,12
5,14
10,16
3.75,2
10,14
10.94999981,16
7.900000095,12
4.71999979,12
5.840000153,13
3.829999924,12
3.200000048,15
2,10
4.5,12
11.55000019,16
2.140000105,13
2.380000114,9
3.75,12
5.519999981,13
6.5,12
3.099999905,12
10,14
6.630000114,16
10,16
2.309999943,9
6.880000114,18
2.829999924,10
3.130000114,10
8,13
4.5,12
8.649999619,18
2,13
4.75,12
6.25,13
6,13
15.38000011,13
14.57999992,18
12.5,12
5.25,12
2.170000076,13
7.139999866,12
6.21999979,12
9,12
10,14
5.769999981,10
4,12
8.75,16
6.53000021,16
7.599999905,12
5,14
5,12
21.86000061,12
8.640000343,12
3.299999952,12
4.440000057,12
4.550000191,12
3.5,12
6.25,16
3.849999905,16
6.179999828,14
2.910000086,11
6.25,16
6.25,12
9.050000191,12
10,17
11.10999966,12
6.880000114,12
8.75,16
10,8
3.049999952,12
3,12
5.800000191,12
4.099999905,16
8,12
6.150000095,12
2.700000048,9
2.75,13
3,16
3,14
7.360000134,8
7.5,14
3.5,13
8.100000381,12
3.75,18
3.25,9
5.829999924,8
3.5,8
3.329999924,12
4,14
3.5,12
6.25,16
2.950000048,8
5.710000038,13
3,9
22.86000061,16
9,12
8.329999924,15
3,11
5.75,14
6.760000229,12
10,12
3,12
3.5,18
3.25,12
4,12
2.920000076,12
3.059999943,12
3.200000048,12
4.75,12
3,14
18.15999985,16
3.5,12
4.110000134,14
1.960000038,11
4.289999962,12
3,10
6.449999809,12
5.199999809,6
4.5,13
3.880000114,12
3.450000048,10
10.90999985,12
4.099999905,14
3,13
5.900000095,12
18,18
4,12
3,12
3.549999952,12
3,12
8.75,12
2.900000095,8
6.260000229,13
3.5,13
4.599999905,14
6,12
2.890000105,10
5.579999924,16
4,12
6,16
4.5,12
2.920000076,14
4.329999924,18
18.88999939,17
4.28000021,13
4.570000172,14
6.25,15
2.950000048,14
8.75,12
8.5,8
3.75,12
3.150000095,12
5,8
6.460000038,12
2,9
4.789999962,12
5.78000021,16
3.180000067,12
4.679999828,16
4.099999905,12
2.910000086,12
6,13
3.599999905,10
3.950000048,6
7,12
3,12
6.079999924,16
8.630000114,12
3,8
3.75,12
2.900000095,6
3,4
6.25,11
3.5,11
3,7
3.24000001,12
8.020000458,18
3.329999924,12
5.25,16
6.25,12
3.5,14
2.950000048,12
3,10
4.690000057,10
3.730000019,9
4,10
4,12
2.900000095,12
3.049999952,12
5.050000191,10
13.94999981,16
18.15999985,16
6.25,16
5.25,12
4.789999962,12
3.349999905,7
3,8
8.430000305,16
5.699999809,16
11.97999954,18
3.5,13
4.239999771,10
7,16
6,14
12.22000027,16
4.5,12
3,9
2.900000095,11
15,11
4,12
5.25,11
4,12
3.299999952,12
5.050000191,12
3.579999924,12
5,14
4.570000172,14
12.5,18
3.450000048,12
4.630000114,12
10,12
2.920000076,11
4.510000229,12
6.5,17
7.5,16
3.539999962,13
4.199999809,13
3.50999999,12
4.5,14
3.349999905,14
2.910000086,11
5.25,10
4.050000191,8
3.75,14
3.400000095,12
3,10
6.289999962,17
2.539999962,9
4.5,12
3.130000114,12
6.360000134,14
4.679999828,16
6.800000191,12
8.529999733,10
4.170000076,0
3.75,14
11.10000038,15
3.25999999,16
9.130000114,12
4.5,11
3,11
8.75,12
4.139999866,13
2.869999886,12
3.349999905,13
6.079999924,16
3,15
4.199999809,16
5.599999905,15
10,12
12.5,18
3.75999999,6
3.099999905,6
4.289999962,12
10.92000008,12
7.5,16
4.050000191,9
4.650000095,12
5,11
2.900000095,10
8,12
8.430000305,8
2.920000076,9
6.25,17
6.25,16
5.110000134,11
4,10
4.440000057,8
6.880000114,13
5.429999828,14
3,13
2.900000095,11
6.25,7
4.340000153,16
3.25,12
7.260000229,13
6.349999905,14
5.630000114,16
8.75,14
3.200000048,11
3,8
3,14
12.5,17
2.880000114,10
3.349999905,12
6.5,12
10.38000011,18
4.5,14
10,18
3.809999943,12
8.800000191,16
9.420000076,14
6.329999924,12
4,9
2.900000095,12
20,12
11.25,17
3.5,12
6,15
14.38000011,17
6.360000134,16
3.549999952,12
3,15
4.5,16
6.630000114,12
9.300000191,15
3,12
3.25,12
1.5,12
5.900000095,12
8,16
2.900000095,11
3.289999962,14
6.5,14
4,13
6,14
4.079999924,12
3.75,12
3.049999952,8
3.5,12
2.920000076,3
4.5,11
3.349999905,15
5.949999809,11
8,12
3,4
5,9
5.5,12
2.650000095,12
3,11
4.5,12
17.5,16
8.180000305,13
9.090000153,15
11.81999969,16
3.25,12
4.5,12
4.5,12
3.710000038,9
6.5,10
2.900000095,12
5.599999905,11
2.230000019,8
5,6
8.329999924,16
2.900000095,12
6.25,12
4.550000191,16
3.279999971,12
2.299999952,10
3.299999952,13
3.150000095,13
12.5,14
5.150000095,16
3.130000114,10
7.25,12
2.900000095,12
1.75,11
2.890000105,0
2.900000095,5
17.70999908,16
6.25,16
2.599999905,9
6.630000114,15
3.5,12
6.5,12
3,12
4.380000114,13
10,12
4.949999809,7
9,17
1.429999948,12
3.079999924,12
9.329999924,14
7.5,12
4.75,13
5.650000095,12
15,16
2.269999981,10
4.670000076,15
11.56000042,16
3.5,14